Product Name,Brand,Price,Reviews,Rating,BSR,Listing Health,Is Sponsored,Position,Issue Flag
"AMERTEER 17oz Travel Coffee Mug, Insulated Stainless Steel Tumbler With Leakproof Spill-Proof Lid, Double-Walled Vacuum Cup For Hot & Cold Drinks, Reusable Coffee Mug For Men & Women (Blue)",AMERTEER,17.99,6,4.7,129,8,NO,1,OK
bottlebottle Bottle Bottle Insulated Travel Mug 350ml Stainless Steel Office Coffee Cup with Push Button Lid Keeps Cold and Hot for 12 Hours (Black),BOTTLE BOTTLE,53.99,312,4.4,271,8.3,NO,2,OK
"Puraville Insulated Mugs with Lids, 400ml, Travel Coffee Mug, Stainless Steel Vacuum Cup, Leakproof, Reusable, Double-Walled Coffee Mug for Iced and Hot Drinks, Cream-Colored",Puraville,33,711,4.2,523,8,NO,3,OK
"Traveland Coffee Mug Travel in Stainless Steel 510ml - Coffee Tumbler with Leak & BPA Free Lid - Perfect Thermal Mug for Ice Coffee, Hot Brews, Fresh Juices Anywhere - Red Hearts",Traveland,24.5,30,4.3,532,10,NO,4,OK
"EcoOak Travel Coffee Mug | Reusable Insulated Coffee Mug | 350ml|12oz | Stainless Steel Coffee Tumbler, Gifts for Women Men Him Her (1, Black)",EcoOak,32.99,42,4.3,557,8.5,NO,5,OK
"THERMOS STAINLESS STEEL VACUUM INSULATED STEEL TUMBLER 470 ML, SK1005MS, TRAVEL TUMBLER, INSULATED CUP, TUMBLER WITH HANDLE",THERMOS,109,1396,4.5,964,8,NO,6,OK
"MILTON 400ml Vacuum Insulated Travel Coffee Mug with Straw & Lid, Keeps Drinks Hot & Cold for 10 Hours, 18/8 Stainless Steel Tumbler, Double-Walled Thermos Flask for Tea, Cappuccino - Clifton - Black",MILTON,34.95,45,4.4,1514,9,NO,7,OK
SimplyLivin. Premium Tumbler with Lid and Straw | 480ml (16oz) | Hot and Cold Drinks | Leak Proof | Travel Mug | Coffee Cup | Double Wall Stainless Steel | Unique Packaging for Gifts | Coffee Brown,SimplyLivin.,59.99,18,4.7,1372,9,NO,8,OK
"ESOLS Travel Coffee Mug, Double-wall Stainless Steel Thermal Cup, Vacuum Insulated Thermos with Tea Infuser and Leak Proof Twist Lid, 500 ML (Midnight Blue)",ESOLS,99.15,22,4.3,1926,9,NO,9,OK
KISSKIND Tumbler With Handle 40 oz Travel Mug Straw Covers Cup with Lid Insulated Quencher Stainless Steel Water Iced Tea Coffee Gift ROSE,KISSKIND,49,782,4.2,674,6,NO,10,OK
"MILTON 300ml Vacuum Insulated Travel Coffee Mug with Strainer & Lid, Keeps Drinks Hot & Cold, 18/8 Stainless Steel Tumbler, Double-Walled Thermos Flask with Inner Copper Coating for Cappuccino - Black",MILTON,43.5,136,4.1,2094,9,NO,11,OK
"YINBAOGE Insulated Travel Coffee Mug, Spill & Leak Proof, Portable To Go Camping Stainless Steel Coffee Tumbler, Reusable Thermal Coffee Cup with Lid for Hot & Cold Drinks (Black, 12 OZ)",YINBAOGE,29.99,652,4.5,2164,8.8,NO,12,OK
GEMFUL Travel Coffee Mug Stainless Steel Vacuum Ice and Hot Drinks Insulated Tumbler for Home Office Outdoor Works,GEMFUL,41.64,1107,4.2,341,9,NO,13,OK
Stanley TRS Mug 350ml/12oz AeroLight Cherry Blossom,STANLEY,128.76,4,5,3134,4.5,NO,14,OK
